pulse rate,stimulus amplitude (uA),amplitude,run,spike times (us)
400,335.16,1.2*threshold,16,0.113365
400,335.16,1.2*threshold,16,0.11585999999999999
400,335.16,1.2*threshold,16,0.12083499999999998
400,335.16,1.2*threshold,16,0.12344499999999999
400,335.16,1.2*threshold,16,0.12588
400,335.16,1.2*threshold,16,0.13344499999999998
400,335.16,1.2*threshold,16,0.145835
400,335.16,1.2*threshold,16,0.14837499999999998
400,335.16,1.2*threshold,16,0.1608
400,335.16,1.2*threshold,16,0.16333499999999998
400,335.16,1.2*threshold,16,0.16568999999999998
400,335.16,1.2*threshold,16,0.16834999999999997
400,335.16,1.2*threshold,16,0.17085999999999998
400,335.16,1.2*threshold,16,0.173365
400,335.16,1.2*threshold,16,0.17834999999999998
400,335.16,1.2*threshold,16,0.180865
400,335.16,1.2*threshold,16,0.183275
400,335.16,1.2*threshold,16,0.185665
400,335.16,1.2*threshold,16,0.19829499999999997
400,335.16,1.2*threshold,16,0.205835
400,335.16,1.2*threshold,16,0.208335
400,335.16,1.2*threshold,16,0.21333999999999997
400,335.16,1.2*threshold,16,0.228345
400,335.16,1.2*threshold,16,0.23332499999999998
400,335.16,1.2*threshold,16,0.23593499999999998
400,335.16,1.2*threshold,16,0.24334499999999998
400,335.16,1.2*threshold,16,0.25081499999999995
400,335.16,1.2*threshold,16,0.25588
400,335.16,1.2*threshold,16,0.258495
400,335.16,1.2*threshold,16,0.26833999999999997
400,335.16,1.2*threshold,16,0.270835
400,335.16,1.2*threshold,16,0.278375
400,335.16,1.2*threshold,16,0.280825
400,335.16,1.2*threshold,16,0.2885
400,335.16,1.2*threshold,16,0.293205
400,335.16,1.2*threshold,17,0.00082
400,335.16,1.2*threshold,17,0.00843
400,335.16,1.2*threshold,17,0.015815
400,335.16,1.2*threshold,17,0.025824999999999997
400,335.16,1.2*threshold,17,0.028335
400,335.16,1.2*threshold,17,0.030869999999999998
400,335.16,1.2*threshold,17,0.040834999999999996
400,335.16,1.2*threshold,17,0.04842
400,335.16,1.2*threshold,17,0.06095
400,335.16,1.2*threshold,17,0.06336
400,335.16,1.2*threshold,17,0.06855499999999999
400,335.16,1.2*threshold,17,0.070835
400,335.16,1.2*threshold,17,0.073445
400,335.16,1.2*threshold,17,0.07583999999999999
400,335.16,1.2*threshold,17,0.07841
400,335.16,1.2*threshold,17,0.08083499999999999
400,335.16,1.2*threshold,17,0.09347499999999999
400,335.16,1.2*threshold,17,0.09815499999999999
400,335.16,1.2*threshold,17,0.10085999999999999
400,335.16,1.2*threshold,17,0.11066
400,335.16,1.2*threshold,17,0.11835499999999999
400,335.16,1.2*threshold,17,0.12084999999999999
400,335.16,1.2*threshold,17,0.123315
400,335.16,1.2*threshold,17,0.12596
400,335.16,1.2*threshold,17,0.12820499999999999
400,335.16,1.2*threshold,17,0.133435
400,335.16,1.2*threshold,17,0.13577999999999998
400,335.16,1.2*threshold,17,0.14584
400,335.16,1.2*threshold,17,0.15582
400,335.16,1.2*threshold,17,0.15829
400,335.16,1.2*threshold,17,0.16337
400,335.16,1.2*threshold,17,0.165875
400,335.16,1.2*threshold,17,0.16843
400,335.16,1.2*threshold,17,0.17068499999999998
400,335.16,1.2*threshold,17,0.17321499999999998
400,335.16,1.2*threshold,17,0.18087999999999999
400,335.16,1.2*threshold,17,0.183275
400,335.16,1.2*threshold,17,0.18834499999999998
